Time,SoC_1,Voltage_1,Current_1,Temperature_1,SoC_2,Voltage_2,Current_2,Temperature_2,SoC_3,Voltage_3,Current_3,Temperature_3,SoC_4,Voltage_4,Current_4,Temperature_4,SoC_5,Voltage_5,Current_5,Temperature_5,SoC_6,Voltage_6,Current_6,Temperature_6,SoC_7,Voltage_7,Current_7,Temperature_7,SoC_8,Voltage_8,Current_8,Temperature_8
0:19,56.0,49101.0,1516.0,21000.0,58.0,49098.0,1366.0,20000.0,55.0,49112.0,1511.0,20000.0,56.0,49115.0,1447.0,19000.0,56.0,49107.0,935.0,18000.0,56.0,49104.0,879.0,18000.0,,,,,,,,
0:19,56.0,49127.0,1480.0,21000.0,58.0,49112.0,1341.0,20000.0,55.0,49129.0,1474.0,20000.0,56.0,49129.0,1415.0,19000.0,56.0,49101.0,905.0,18000.0,56.0,49100.0,844.0,18000.0,,,,,,,,
0:20,56.0,49107.0,1478.0,21000.0,58.0,49118.0,1313.0,20000.0,55.0,49130.0,1371.0,20000.0,56.0,49112.0,1378.0,19000.0,56.0,49109.0,905.0,18000.0,56.0,49106.0,856.0,18000.0,,,,,,,,
0:20,56.0,49116.0,1465.0,21000.0,58.0,49118.0,1318.0,20000.0,55.0,49130.0,1430.0,20000.0,56.0,49121.0,1390.0,19000.0,56.0,49116.0,889.0,18000.0,56.0,49115.0,844.0,18000.0,,,,,,,,
0:21,56.0,49142.0,1336.0,21000.0,58.0,49132.0,1202.0,20000.0,55.0,49139.0,1284.0,20000.0,56.0,49144.0,1264.0,19000.0,56.0,49111.0,812.0,18000.0,56.0,49115.0,760.0,18000.0,,,,,,,,
0:21,56.0,49125.0,1371.0,21000.0,58.0,49128.0,1230.0,20000.0,55.0,49137.0,1296.0,20000.0,56.0,49140.0,1289.0,19000.0,56.0,49118.0,836.0,18000.0,56.0,49114.0,782.0,18000.0,,,,,,,,
0:22,56.0,49140.0,1268.0,21000.0,58.0,49133.0,1147.0,20000.0,55.0,49146.0,1242.0,20000.0,56.0,49148.0,1201.0,19000.0,56.0,49127.0,762.0,18000.0,56.0,49120.0,722.0,18000.0,,,,,,,,
0:22,56.0,49128.0,1358.0,21000.0,58.0,49135.0,1218.0,20000.0,55.0,49137.0,1255.0,20000.0,56.0,49137.0,1276.0,19000.0,56.0,49132.0,830.0,18000.0,56.0,49128.0,785.0,18000.0,,,,,,,,
0:23,56.0,49134.0,1390.0,21000.0,58.0,49144.0,1242.0,20000.0,55.0,49152.0,1271.0,20000.0,56.0,49130.0,1297.0,19000.0,56.0,49122.0,844.0,18000.0,56.0,49118.0,799.0,18000.0,,,,,,,,
0:23,56.0,49152.0,1292.0,21000.0,58.0,49132.0,1170.0,20000.0,55.0,49145.0,1261.0,20000.0,56.0,49150.0,1224.0,19000.0,56.0,49111.0,780.0,18000.0,56.0,49116.0,736.0,18000.0,,,,,,,,
